id,breed,horse_age,horse_gender,feed_keywords,temp_max,temp_min,precipitation,location,colic_keywords,feed_count,horse_keeping,age_group,risk_combination,is_colic
70,Württemberger,10,mare,pellets,16.2,2.0,0.0,Berlin,displacement,1,pasture,6-10,mare_pasture,True
71,American Quarter Horse,15,stallion,"silage, straw",9.1,-5.0,0.0,Stuttgart,displacement,2,stable,11-15,stallion_stable,True
72,Islandpferd,9,mare,"haylage, straw",22.8,13.8,2.6,Berlin,displacement,2,stable,6-10,mare_stable,True
73,Welsh Pony,20,stallion,"haylage, silage",14.6,4.6,0.0,Leipzig,impaction,2,pasture,16-20,stallion_pasture,True
74,Oldenburger,15,stallion,"silage, straw",7.2,1.1,2.9,Hamburg,displacement,2,stable,11-15,stallion_stable,True
75,Oldenburger,5,mare,"haylage, silage",6.8,0.3,1.0,Stuttgart,displacement,2,paddock,0-5,mare_paddock,True
76,Paint Horse,7,stallion,"pellets, silage",10.8,3.2,0.0,Dresden,impaction,2,pasture,6-10,stallion_pasture,True
77,Deutsches Reitpony,11,mare,silage,5.7,1.0,0.1,Hanover,spasmodic,1,paddock,11-15,mare_paddock,True
78,Welsh Pony,12,mare,corn,5.7,-1.4,5.5,Berlin,impaction,1,stable,11-15,mare_stable,True
79,Shetlandpony,1,mare,silage,6.6,0.2,3.0,Leipzig,displacement,1,stable,0-5,mare_stable,True
80,Friese,19,gelding,hay,-0.8,-11.6,0.0,Nuremberg,spasmodic,1,stable,16-20,gelding_stable,True
81,Arabisches Vollblut,10,stallion,"pellets, silage",10.0,2.9,2.2,Stuttgart,displacement,2,stable,6-10,stallion_stable,True
82,Holsteiner,24,gelding,haylage,20.5,16.6,0.2,Hamburg,spasmodic,1,paddock,21+,gelding_paddock,True
83,Haflinger,14,mare,"silage, straw",20.2,9.7,0.1,Berlin,displacement,2,stable,11-15,mare_stable,True
84,Oldenburger,25,gelding,pellets,25.5,15.4,14.8,Hanover,impaction,1,pasture,21+,gelding_pasture,True
85,Oldenburger,7,gelding,"fresh grass, silage",13.1,8.4,0.7,Leipzig,displacement,2,pasture,6-10,gelding_pasture,True
86,Trakehner,1,stallion,"hay, haylage",19.2,13.5,1.7,Berlin,spasmodic,2,paddock,0-5,stallion_paddock,True
87,Appaloosa,22,stallion,silage,7.0,1.4,1.0,Hamburg,displacement,1,stable,21+,stallion_stable,True
88,Friese,30,gelding,silage,13.6,2.2,2.3,Stuttgart,displacement,1,stable,21+,gelding_stable,True
89,Arabisches Vollblut,21,gelding,straw,10.1,4.2,11.1,Cologne,impaction,1,stable,21+,gelding_stable,True
90,American Quarter Horse,30,stallion,haylage,2.9,-1.0,4.5,Munich,sand,1,stable,21+,stallion_stable,True
91,Andalusier,26,mare,"pellets, straw",14.4,9.0,4.8,Hamburg,impaction,2,pasture,21+,mare_pasture,True
92,Shetlandpony,16,gelding,hay,20.9,13.1,0.2,Berlin,spasmodic,1,paddock,16-20,gelding_paddock,True
93,Englische Vollblüter,3,mare,straw,9.3,3.1,12.7,Stuttgart,impaction,1,pasture,0-5,mare_pasture,True
94,Holsteiner,1,mare,silage,26.3,13.7,0.8,Nuremberg,impaction,1,pasture,0-5,mare_pasture,True
95,Andalusier,19,mare,"pellets, straw",13.9,9.9,1.3,Berlin,impaction,2,pasture,16-20,mare_pasture,True
96,Oldenburger,7,gelding,hay,19.3,9.3,0.0,Frankfurt,spasmodic,1,pasture,6-10,gelding_pasture,True
97,Islandpferd,23,gelding,"haylage, straw",25.2,12.6,0.0,Stuttgart,impaction,2,stable,21+,gelding_stable,True
98,Andalusier,5,stallion,pellets,15.0,4.2,0.0,Stuttgart,sand,1,stable,0-5,stallion_stable,True
99,Haflinger,19,gelding,hay,8.7,0.5,0.0,Nuremberg,sand,1,stable,16-20,gelding_stable,True
100,Englische Vollblüter,11,gelding,"haylage, straw",8.4,4.8,0.2,Leipzig,gas,2,pasture,11-15,gelding_pasture,True
101,Deutsches Reitpony,28,mare,haylage,13.0,9.4,10.9,Hanover,impaction,1,stable,21+,mare_stable,True
102,Hannoveraner,16,mare,"haylage, straw",28.0,18.9,3.7,Munich,impaction,2,pasture,16-20,mare_pasture,True
103,Englische Vollblüter,28,mare,pellets,20.2,16.9,40.3,Berlin,impaction,1,stable,21+,mare_stable,True
104,Andalusier,9,gelding,"silage, straw",30.9,19.2,0.0,Cologne,spasmodic,2,pasture,6-10,gelding_pasture,True
105,Welsh Pony,8,stallion,haylage,28.3,17.8,0.0,Cologne,spasmodic,1,stable,6-10,stallion_stable,True
106,Trakehner,28,gelding,"fresh grass, hay",23.2,14.7,0.3,Stuttgart,sand,2,pasture,21+,gelding_pasture,True
107,Andalusier,2,gelding,hay,24.0,14.8,4.4,Stuttgart,torsion,1,paddock,0-5,gelding_paddock,True
108,Appaloosa,13,stallion,"hay, straw",13.2,0.0,0.0,Cologne,spasmodic,2,pasture,11-15,stallion_pasture,True
109,Württemberger,14,stallion,straw,7.8,6.2,16.1,Stuttgart,spasmodic,1,stable,11-15,stallion_stable,True
110,Andalusier,11,stallion,haylage,13.7,8.3,0.3,Leipzig,sand,1,pasture,11-15,stallion_pasture,True
111,Shetlandpony,25,mare,haylage,29.0,15.3,0.0,Nuremberg,gas,1,stable,21+,mare_stable,True
112,Deutsches Reitpony,14,mare,"fresh grass, silage",13.3,7.9,1.1,Cologne,displacement,2,stable,11-15,mare_stable,True
113,Englische Vollblüter,25,mare,straw,26.6,10.4,0.0,Frankfurt,impaction,1,stable,21+,mare_stable,True
114,Württemberger,3,stallion,haylage,14.1,-3.2,0.0,Munich,spasmodic,1,stable,0-5,stallion_stable,True
115,Deutsches Reitpony,30,stallion,silage,22.4,12.9,2.0,Hanover,gas,1,paddock,21+,stallion_paddock,True
116,Paint Horse,29,mare,"haylage, straw",1.5,-5.7,0.0,Stuttgart,impaction,2,stable,21+,mare_stable,True
117,Shetlandpony,16,mare,silage,19.9,6.6,0.0,Dresden,displacement,1,stable,16-20,mare_stable,True
118,Westfale,28,mare,"fresh grass, straw",12.5,2.6,1.3,Hamburg,impaction,2,stable,21+,mare_stable,True
119,Württemberger,24,gelding,straw,15.2,10.9,13.6,Dresden,impaction,1,stable,21+,gelding_stable,True
120,Hannoveraner,13,gelding,hay,14.8,5.7,0.0,Cologne,spasmodic,1,pasture,11-15,gelding_pasture,True
121,American Quarter Horse,26,stallion,silage,10.0,-1.5,0.0,Cologne,displacement,1,stable,21+,stallion_stable,True
122,Oldenburger,17,mare,haylage,28.9,13.4,3.4,Frankfurt,sand,1,stable,16-20,mare_stable,True
123,Holsteiner,14,gelding,silage,23.2,12.2,0.0,Munich,displacement,1,stable,11-15,gelding_stable,True
124,Appaloosa,12,stallion,"haylage, silage",21.3,14.6,0.3,Hamburg,impaction,2,pasture,11-15,stallion_pasture,True
125,Shetlandpony,21,stallion,silage,24.5,14.9,0.0,Berlin,displacement,1,stable,21+,stallion_stable,True
126,Islandpferd,1,mare,straw,20.3,14.1,1.4,Frankfurt,gas,1,pasture,0-5,mare_pasture,True
127,Welsh Pony,10,mare,hay,3.2,-3.9,0.0,Nuremberg,spasmodic,1,stable,6-10,mare_stable,True
128,Oldenburger,2,gelding,fresh grass,13.5,1.4,0.0,Berlin,gas,1,pasture,0-5,gelding_pasture,True
129,Shetlandpony,23,mare,haylage,20.3,10.1,2.0,Stuttgart,gas,1,stable,21+,mare_stable,True
130,Paint Horse,29,gelding,hay,26.5,12.2,0.0,Frankfurt,displacement,1,paddock,21+,gelding_paddock,True
131,Paint Horse,26,stallion,silage,17.8,6.9,0.0,Cologne,displacement,1,stable,21+,stallion_stable,True
132,Shetlandpony,26,stallion,pellets,5.0,1.6,0.0,Dresden,impaction,1,pasture,21+,stallion_pasture,True
133,Oldenburger,26,stallion,pellets,7.0,-6.0,0.0,Nuremberg,spasmodic,1,pasture,21+,stallion_pasture,True
134,American Quarter Horse,5,stallion,pellets,14.9,8.2,12.6,Cologne,impaction,1,pasture,0-5,stallion_pasture,True
135,Englische Vollblüter,3,gelding,silage,7.7,4.5,3.1,Hamburg,gas,1,paddock,0-5,gelding_paddock,True
136,Arabisches Vollblut,20,stallion,"pellets, silage",7.7,0.0,0.0,Munich,displacement,2,stable,16-20,stallion_stable,True
137,Welsh Pony,11,stallion,silage,19.8,9.9,0.0,Nuremberg,displacement,1,stable,11-15,stallion_stable,True
138,Westfale,10,mare,silage,13.7,7.2,0.7,Leipzig,displacement,1,stable,6-10,mare_stable,True
139,Friese,17,stallion,haylage,25.5,19.1,6.7,Nuremberg,displacement,1,paddock,16-20,stallion_paddock,True
140,Islandpferd,8,mare,hay,27.7,18.9,0.2,Hanover,gas,1,pasture,6-10,mare_pasture,True
141,Arabisches Vollblut,7,mare,straw,23.8,14.0,3.7,Berlin,sand,1,paddock,6-10,mare_paddock,True
142,Oldenburger,14,mare,"hay, silage",16.3,14.6,3.9,Nuremberg,displacement,2,pasture,11-15,mare_pasture,True
143,Islandpferd,10,gelding,"pellets, silage",-2.9,-7.9,0.0,Berlin,sand,2,paddock,6-10,gelding_paddock,True
144,Friese,5,stallion,straw,5.7,2.8,0.0,Leipzig,impaction,1,paddock,0-5,stallion_paddock,True
145,Friese,7,stallion,fresh grass,18.3,14.5,7.0,Stuttgart,gas,1,stable,6-10,stallion_stable,True
146,Paint Horse,17,stallion,straw,29.0,18.5,0.0,Cologne,spasmodic,1,stable,16-20,stallion_stable,True
147,Lipizzaner,6,gelding,"hay, silage",18.8,6.8,0.0,Hanover,displacement,2,stable,6-10,gelding_stable,True
148,Westfale,10,stallion,pellets,8.1,-1.3,1.5,Nuremberg,spasmodic,1,stable,6-10,stallion_stable,True
149,Lipizzaner,21,stallion,hay,18.2,10.5,16.1,Nuremberg,gas,1,pasture,21+,stallion_pasture,True
150,Westfale,5,stallion,pellets,17.3,6.7,0.2,Hanover,impaction,1,pasture,0-5,stallion_pasture,True
151,Friese,12,mare,"hay, haylage",12.2,-0.4,0.0,Dresden,torsion,2,pasture,11-15,mare_pasture,True
152,Westfale,23,stallion,straw,13.5,11.5,4.7,Stuttgart,impaction,1,paddock,21+,stallion_paddock,True
153,Württemberger,4,mare,hay,14.4,2.0,0.0,Frankfurt,impaction,1,paddock,0-5,mare_paddock,True
154,Holsteiner,7,mare,silage,23.0,13.6,0.0,Cologne,displacement,1,stable,6-10,mare_stable,True
155,American Quarter Horse,27,gelding,corn,4.3,1.7,0.0,Frankfurt,spasmodic,1,stable,21+,gelding_stable,True
156,American Quarter Horse,1,mare,"haylage, silage",4.1,2.4,0.2,Stuttgart,displacement,2,stable,0-5,mare_stable,True
157,Islandpferd,9,gelding,silage,23.0,13.7,0.2,Berlin,spasmodic,1,paddock,6-10,gelding_paddock,True
158,Andalusier,21,gelding,straw,13.1,5.5,0.0,Cologne,impaction,1,stable,21+,gelding_stable,True
159,Württemberger,16,stallion,haylage,14.0,11.0,3.1,Leipzig,sand,1,paddock,16-20,stallion_paddock,True
160,Welsh Pony,25,stallion,"hay, haylage",8.9,2.5,1.0,Frankfurt,torsion,2,stable,21+,stallion_stable,True
161,Shetlandpony,24,gelding,fresh grass,13.0,7.0,0.6,Nuremberg,torsion,1,stable,21+,gelding_stable,True
162,Andalusier,5,stallion,hay,2.7,-2.9,1.2,Frankfurt,displacement,1,stable,0-5,stallion_stable,True
163,Welsh Pony,28,stallion,"pellets, silage",26.0,20.2,29.8,Nuremberg,displacement,2,stable,21+,stallion_stable,True
164,Lipizzaner,14,gelding,silage,24.6,12.0,0.0,Hanover,displacement,1,stable,11-15,gelding_stable,True
165,Hannoveraner,11,gelding,corn,16.2,4.2,0.1,Leipzig,spasmodic,1,stable,11-15,gelding_stable,True
166,Andalusier,15,stallion,"pellets, straw",16.7,13.4,4.0,Leipzig,spasmodic,2,paddock,11-15,stallion_paddock,True
167,Württemberger,26,stallion,fresh grass,23.8,17.3,1.3,Nuremberg,impaction,1,pasture,21+,stallion_pasture,True
168,Friese,28,gelding,corn,22.6,14.2,0.4,Nuremberg,spasmodic,1,pasture,21+,gelding_pasture,True
169,Andalusier,23,mare,silage,20.3,6.3,0.0,Dresden,spasmodic,1,pasture,21+,mare_pasture,True
170,Welsh Pony,18,gelding,straw,24.2,11.6,0.0,Berlin,gas,1,stable,16-20,gelding_stable,True
171,Friese,18,gelding,corn,21.1,8.3,0.0,Leipzig,spasmodic,1,pasture,16-20,gelding_pasture,True
172,Oldenburger,16,gelding,pellets,17.2,3.9,0.8,Munich,displacement,1,paddock,16-20,gelding_paddock,True
173,Haflinger,8,gelding,haylage,15.8,7.4,1.6,Berlin,gas,1,pasture,6-10,gelding_pasture,True
174,Friese,11,mare,"fresh grass, pellets",29.8,16.9,0.0,Munich,spasmodic,2,stable,11-15,mare_stable,True
175,Württemberger,16,mare,haylage,16.6,7.3,0.1,Frankfurt,gas,1,pasture,16-20,mare_pasture,True
176,Islandpferd,13,gelding,silage,20.7,11.9,0.0,Berlin,spasmodic,1,pasture,11-15,gelding_pasture,True
177,Württemberger,17,stallion,straw,5.4,-0.4,0.0,Leipzig,gas,1,paddock,16-20,stallion_paddock,True
178,Haflinger,26,gelding,straw,14.4,8.8,0.0,Munich,impaction,1,stable,21+,gelding_stable,True
179,Lipizzaner,21,gelding,pellets,18.7,8.6,0.0,Stuttgart,torsion,1,stable,21+,gelding_stable,True
180,Englische Vollblüter,3,gelding,haylage,6.4,0.8,0.0,Stuttgart,spasmodic,1,stable,0-5,gelding_stable,True
181,Paint Horse,13,mare,haylage,23.8,13.1,3.8,Munich,gas,1,pasture,11-15,mare_pasture,True
182,Trakehner,16,mare,"haylage, straw",7.7,0.8,0.0,Hanover,sand,2,stable,16-20,mare_stable,True
183,Welsh Pony,19,stallion,"silage, straw",8.8,-2.9,0.0,Stuttgart,impaction,2,stable,16-20,stallion_stable,True
184,Oldenburger,30,mare,"hay, silage",30.2,17.9,12.4,Nuremberg,displacement,2,stable,21+,mare_stable,True
185,Lipizzaner,28,stallion,silage,10.2,4.2,0.0,Berlin,sand,1,paddock,21+,stallion_paddock,True
186,Shetlandpony,27,stallion,straw,28.5,16.4,3.1,Dresden,impaction,1,paddock,21+,stallion_paddock,True
187,Oldenburger,12,mare,hay,13.3,5.2,0.3,Stuttgart,sand,1,paddock,11-15,mare_paddock,True
188,Arabisches Vollblut,14,gelding,hay,4.5,-0.5,0.0,Dresden,gas,1,stable,11-15,gelding_stable,True
189,Oldenburger,27,stallion,hay,4.0,-2.1,0.9,Munich,impaction,1,pasture,21+,stallion_pasture,True
190,Oldenburger,11,gelding,"haylage, pellets",20.8,10.0,0.0,Nuremberg,displacement,2,pasture,11-15,gelding_pasture,True
191,Shetlandpony,15,gelding,silage,7.7,4.5,3.1,Hamburg,displacement,1,stable,11-15,gelding_stable,True
192,Paint Horse,24,stallion,"pellets, straw",21.2,11.0,0.0,Dresden,impaction,2,pasture,21+,stallion_pasture,True
193,Haflinger,17,stallion,haylage,17.0,7.7,22.2,Hanover,gas,1,stable,16-20,stallion_stable,True
194,Deutsches Reitpony,17,mare,haylage,4.1,-5.8,0.5,Nuremberg,impaction,1,pasture,16-20,mare_pasture,True
195,Arabisches Vollblut,22,gelding,fresh grass,22.2,7.7,0.0,Munich,gas,1,stable,21+,gelding_stable,True
196,Arabisches Vollblut,19,mare,straw,10.0,4.4,6.1,Berlin,impaction,1,paddock,16-20,mare_paddock,True
197,Englische Vollblüter,24,stallion,silage,32.6,23.1,0.8,Hanover,displacement,1,stable,21+,stallion_stable,True
198,Appaloosa,10,mare,pellets,18.5,11.2,0.4,Dresden,spasmodic,1,pasture,6-10,mare_pasture,True
199,American Quarter Horse,20,mare,silage,11.9,2.5,0.0,Hamburg,sand,1,paddock,16-20,mare_paddock,True
200,Englische Vollblüter,10,stallion,silage,27.3,20.0,31.9,Hanover,displacement,1,stable,6-10,stallion_stable,True
201,Arabisches Vollblut,15,gelding,corn,30.4,21.0,1.0,Hanover,sand,1,stable,11-15,gelding_stable,True
202,Appaloosa,1,stallion,corn,19.6,10.2,10.3,Hanover,impaction,1,pasture,0-5,stallion_pasture,True
203,Lipizzaner,5,gelding,straw,25.5,11.1,0.0,Dresden,sand,1,paddock,0-5,gelding_paddock,True
204,Deutsches Reitpony,29,stallion,straw,1.4,-3.9,0.6,Nuremberg,impaction,1,pasture,21+,stallion_pasture,True
205,Islandpferd,1,mare,silage,24.7,17.8,3.0,Nuremberg,displacement,1,stable,0-5,mare_stable,True
206,Welsh Pony,16,mare,pellets,11.2,1.9,8.7,Hanover,spasmodic,1,stable,16-20,mare_stable,True
207,Shetlandpony,5,gelding,silage,17.1,11.2,1.8,Cologne,displacement,1,stable,0-5,gelding_stable,True
208,Württemberger,24,mare,fresh grass,10.4,4.0,0.4,Berlin,sand,1,pasture,21+,mare_pasture,True
209,Paint Horse,15,gelding,straw,36.3,22.6,0.0,Cologne,displacement,1,stable,11-15,gelding_stable,True
210,Westfale,21,gelding,haylage,21.0,10.0,0.1,Hanover,spasmodic,1,stable,21+,gelding_stable,True
211,American Quarter Horse,1,gelding,corn,18.5,8.2,0.0,Leipzig,gas,1,stable,0-5,gelding_stable,True
212,Holsteiner,23,stallion,haylage,12.1,3.5,1.2,Leipzig,impaction,1,stable,21+,stallion_stable,True
213,Hannoveraner,27,stallion,haylage,13.3,7.2,3.4,Stuttgart,torsion,1,paddock,21+,stallion_paddock,True
214,Haflinger,21,gelding,fresh grass,8.1,-2.5,0.1,Nuremberg,spasmodic,1,stable,21+,gelding_stable,True
215,Welsh Pony,23,gelding,straw,35.1,18.3,0.9,Berlin,impaction,1,stable,21+,gelding_stable,True
216,Arabisches Vollblut,14,stallion,straw,11.2,8.7,19.3,Dresden,spasmodic,1,stable,11-15,stallion_stable,True
217,Andalusier,6,gelding,"hay, pellets",9.9,3.3,1.5,Munich,impaction,2,stable,6-10,gelding_stable,True
218,Appaloosa,4,stallion,straw,17.3,2.9,0.0,Munich,spasmodic,1,paddock,0-5,stallion_paddock,True
219,Englische Vollblüter,14,stallion,silage,15.1,5.1,0.2,Cologne,displacement,1,stable,11-15,stallion_stable,True
220,Islandpferd,8,gelding,pellets,19.0,11.9,0.0,Leipzig,spasmodic,1,pasture,6-10,gelding_pasture,True
221,Holsteiner,10,gelding,hay,11.0,3.7,0.1,Cologne,displacement,1,paddock,6-10,gelding_paddock,True
222,Paint Horse,6,gelding,"hay, silage",17.1,5.4,0.0,Berlin,spasmodic,2,paddock,6-10,gelding_paddock,True
223,Westfale,2,stallion,"hay, silage",12.7,2.9,0.0,Stuttgart,displacement,2,pasture,0-5,stallion_pasture,True
224,Trakehner,16,stallion,silage,7.7,3.7,5.2,Berlin,displacement,1,stable,16-20,stallion_stable,True
225,Holsteiner,6,stallion,straw,34.7,19.7,0.2,Frankfurt,sand,1,pasture,6-10,stallion_pasture,True
226,Hannoveraner,24,stallion,"haylage, straw",12.8,0.7,0.0,Hamburg,impaction,2,pasture,21+,stallion_pasture,True
227,Islandpferd,2,stallion,silage,14.9,10.3,4.8,Dresden,displacement,1,pasture,0-5,stallion_pasture,True
228,Andalusier,4,mare,straw,17.6,7.6,0.1,Cologne,impaction,1,stable,0-5,mare_stable,True
229,Lipizzaner,4,stallion,pellets,18.6,12.9,4.8,Hamburg,sand,1,paddock,0-5,stallion_paddock,True
